sequence,modelfile,diff
0,modelmania/modelmania_0000.keras,5262.7441419661045
1,modelmania/modelmania_0001.keras,6815.255462765694
2,modelmania/modelmania_0002.keras,13213.65598154068
3,modelmania/modelmania_0003.keras,10140.94472193718
4,modelmania/modelmania_0004.keras,1337.6176376929507
5,modelmania/modelmania_0005.keras,2339.432191900909
6,modelmania/modelmania_0006.keras,4404.105725862086
7,modelmania/modelmania_0007.keras,12210.364250898361
8,modelmania/modelmania_0008.keras,1628.7761948816478
9,modelmania/modelmania_0009.keras,3620.0949360132217
10,modelmania/modelmania_0010.keras,17099.18847990036
11,modelmania/modelmania_0011.keras,4686.648717939854
12,modelmania/modelmania_0012.keras,3903.20401853323
13,modelmania/modelmania_0013.keras,654.8749689841643
14,modelmania/modelmania_0014.keras,10091.350507497787
15,modelmania/modelmania_0015.keras,3839.9031524658203
16,modelmania/modelmania_0016.keras,9371.38384296
17,modelmania/modelmania_0017.keras,2069.807647049427
18,modelmania/modelmania_0018.keras,7032.623796418309
19,modelmania/modelmania_0019.keras,2410.3379146307707
20,modelmania/modelmania_0020.keras,8579.830347180367
21,modelmania/modelmania_0021.keras,247.0769041776657
22,modelmania/modelmania_0022.keras,21.41753125190735
23,modelmania/modelmania_0023.keras,1293.121530648321
24,modelmania/modelmania_0024.keras,1626.5669442415237
25,modelmania/modelmania_0025.keras,11647.130383953452
26,modelmania/modelmania_0026.keras,5685.138510994613
27,modelmania/modelmania_0027.keras,1545.4737208252773
28,modelmania/modelmania_0028.keras,331.8681335449219
29,modelmania/modelmania_0029.keras,10938.128171220422
30,modelmania/modelmania_0030.keras,8400.974261879921
31,modelmania/modelmania_0031.keras,11960.489262670279
32,modelmania/modelmania_0032.keras,2602.5229260567576
33,modelmania/modelmania_0033.keras,9292.830086350441
34,modelmania/modelmania_0034.keras,7734.670690886676
35,modelmania/modelmania_0035.keras,11697.933182835579
36,modelmania/modelmania_0036.keras,3693.621657319367
37,modelmania/modelmania_0037.keras,1493.999506112188
38,modelmania/modelmania_0038.keras,1275.6275981068611
39,modelmania/modelmania_0039.keras,778.7781362533569
40,modelmania/modelmania_0040.keras,451.0472345352173
41,modelmania/modelmania_0041.keras,1770.9484127052128
42,modelmania/modelmania_0042.keras,7782.01963186264
43,modelmania/modelmania_0043.keras,799.2075293064117
44,modelmania/modelmania_0044.keras,7112.449324607849
45,modelmania/modelmania_0045.keras,993.365592956543
46,modelmania/modelmania_0046.keras,1562.0273962626234
47,modelmania/modelmania_0047.keras,170.14352754782885
48,modelmania/modelmania_0048.keras,3141.725103326142
49,modelmania/modelmania_0049.keras,732.7854046886787
50,modelmania/modelmania_0050.keras,759.5075761675835
51,modelmania/modelmania_0051.keras,820.8415680229664
52,modelmania/modelmania_0052.keras,557.5102190878242
53,modelmania/modelmania_0053.keras,13780.788996517658
54,modelmania/modelmania_0054.keras,334.6124959862791
55,modelmania/modelmania_0055.keras,3104.3822231292725
56,modelmania/modelmania_0056.keras,10868.584606543183
57,modelmania/modelmania_0057.keras,6537.04885238409
58,modelmania/modelmania_0058.keras,5462.561048530042
59,modelmania/modelmania_0059.keras,1333.2496366668493
60,modelmania/modelmania_0060.keras,561.7590756416321
61,modelmania/modelmania_0061.keras,611.6756403446198
62,modelmania/modelmania_0062.keras,11211.562060296535
63,modelmania/modelmania_0063.keras,5554.18587757647
64,modelmania/modelmania_0064.keras,1836.5307505205274
65,modelmania/modelmania_0065.keras,666.244341602549
66,modelmania/modelmania_0066.keras,2050.5551086943597
67,modelmania/modelmania_0067.keras,2429.3885593414307
68,modelmania/modelmania_0068.keras,860.8028408233076
69,modelmania/modelmania_0069.keras,1074.4044660292566
70,modelmania/modelmania_0070.keras,13056.217931389809
71,modelmania/modelmania_0071.keras,7531.462576061487
72,modelmania/modelmania_0072.keras,2550.384974718094
73,modelmania/modelmania_0073.keras,488.1535036135465
74,modelmania/modelmania_0074.keras,9451.285540103912
75,modelmania/modelmania_0075.keras,13227.24467420578
76,modelmania/modelmania_0076.keras,2344.0393008105457
77,modelmania/modelmania_0077.keras,13220.36906003952
78,modelmania/modelmania_0078.keras,1294.2383156437427
79,modelmania/modelmania_0079.keras,2020.3561959266663
80,modelmania/modelmania_0080.keras,11928.003422439098
81,modelmania/modelmania_0081.keras,10707.11132144928
82,modelmania/modelmania_0082.keras,6263.381637126207
83,modelmania/modelmania_0083.keras,2363.2471240758896
84,modelmania/modelmania_0084.keras,3976.4222494512796
85,modelmania/modelmania_0085.keras,5735.499826326966
86,modelmania/modelmania_0086.keras,1203.9511617422104
87,modelmania/modelmania_0087.keras,165.8210872206837
